"",Route,Time,Cost,Traffic Intensity,Selection
0,Route 1,Best,Minimum,Medium,Yes
5,Route 1,Average,Minimum,Low,Yes
17,Route 1,Average,Maximum,Low,No
1,Route 2,Average,Minimum,Medium,Yes
9,Route 2,Best,Maximum,Medium,Yes
10,Route 3,Worst,Maximum,Medium,No
14,Route 3,Best,Maximum,Low,Yes
2,Route 3,Best,Maximum,Low,No
4,Route 4,Average,Minimum,High,No
13,Route 4,Worst,Minimum,Medium,No
6,Route 5,Average,Maximum,High,Yes
12,Route 5,Worst,Maximum,High,No
3,Route 6,Worst,Maximum,High,Yes
16,Route 6,Average,Minimum,Low,Yes
7,Route 7,Worst,Minimum,High,Yes
15,Route 7,Average,Minimum,Low,Yes
11,Route 8,Best,Minimum,Low,Yes
8,Route 8,Best,Minimum,Medium,No
